Metric,Value
"Event Accuracy (CV)",0.9729397294
"Event Accuracy (CV)",0.9680196802
"Event Accuracy (CV)",0.9692496925
"Event Accuracy (CV)",0.975399754
"Event Accuracy (CV)",0.9655596556
"Event Accuracy (CV)",0.9667896679
"Event Accuracy (CV)",0.9692496925
"Event Accuracy (CV)",0.9667896679
"Event Accuracy (CV)",0.9717097171
"Event Accuracy (CV)",0.9680196802
"Event Accuracy (Lab)",0.93
"Event Accuracy (Lab)",0.92
"Event Accuracy (Lab)",0.95
"Event Accuracy (Lab)",0.95
"Event Accuracy (Lab)",0.89
"Event Accuracy (Lab)",0.90
"Event Accuracy (Lab)",0.92
"Event Accuracy (Lab)",0.92
"Event Accuracy (Lab)",0.91
"Event Accuracy (Lab)",0.94
"Event Accuracy (Lab)",0.93
"Event Accuracy (Lab)",0.92
"Event Accuracy (Lab)",0.95
"Event Accuracy (Lab)",0.94
"Event Accuracy (Lab)",0.93
"Event Accuracy (Lab)",0.90
"Event Accuracy (Lab)",0.92
"Event Accuracy (Lab)",0.92
"Event Accuracy (Lab)",0.91
"Event Accuracy (Lab)",0.94